Date,Price,Open,High,Low,Vol.,Change %,Volume
6/2/2023,0.072571,0.071427,0.073268,0.071052,519.35M,1.59%,519350000
6/1/2023,0.071434,0.071659,0.072173,0.070783,485.33M,-0.32%,485330000
5/31/2023,0.071661,0.072312,0.072673,0.070738,574.92M,-0.90%,574920000
5/30/2023,0.072312,0.073136,0.073449,0.072153,682.57M,-1.12%,682570000
5/29/2023,0.073135,0.073537,0.073975,0.072721,414.39M,-0.55%,414390000
5/28/2023,0.073537,0.072608,0.073959,0.071889,564.40M,1.28%,564400000
5/27/2023,0.072608,0.070962,0.073366,0.070839,474.84M,2.32%,474840000
5/26/2023,0.070962,0.070882,0.071349,0.070382,558.07M,0.11%,558070000
5/25/2023,0.070884,0.07065,0.071011,0.06889,652.66M,0.32%,652660000
5/24/2023,0.070656,0.072877,0.072881,0.069765,814.18M,-3.05%,814180000
5/23/2023,0.07288,0.07292,0.073901,0.072465,471.06M,-0.05%,471060000
5/22/2023,0.07292,0.072114,0.073976,0.07099,651.39M,1.12%,651390000
5/21/2023,0.072114,0.073628,0.073979,0.071991,409.63M,-2.06%,409630000
5/20/2023,0.073629,0.073494,0.073846,0.073085,289.95M,0.18%,289950000
5/19/2023,0.073494,0.07343,0.074024,0.07303,484.32M,0.09%,484320000
5/18/2023,0.07343,0.074833,0.074892,0.071695,1.06B,-1.81%,1060000000
5/17/2023,0.074784,0.072751,0.075424,0.07234,1.09B,2.79%,1090000000
5/16/2023,0.072751,0.071952,0.073238,0.070924,578.78M,1.11%,578780000
5/15/2023,0.071953,0.071967,0.073549,0.070961,728.58M,-0.02%,728580000
5/14/2023,0.071967,0.071666,0.072629,0.071219,363.44M,0.42%,363440000
5/13/2023,0.071665,0.072367,0.072398,0.071357,434.51M,-0.97%,434510000
5/12/2023,0.072369,0.071957,0.072616,0.069362,1.29B,0.58%,1290000000
5/11/2023,0.071955,0.07313,0.07316,0.069324,1.18B,-1.64%,1180000000
5/10/2023,0.073154,0.073115,0.074658,0.070594,1.19B,0.05%,1190000000
5/9/2023,0.073114,0.072416,0.073341,0.07213,770.90M,0.97%,770900000
